category,description
Rejected,This company is not registered with BIDA so the desired service will be given by BIDA Commercial section. Please apply there.
Rejected,The manpower ratio does not cover the BIDA guideline; Please replace the expatriate by a local employee
Rejected,"You have made mistakes in completing the basic form. Your concerned division should be Registration and Incentives (Commercial), instead of (Industry). Kindly amend the basic form, or create a new basic form stating the right division of BIDA and then re-apply.\
"
Rejected,5 years will exceed 07-Jun-2023. Uploaded a request letter (doc 12) with doc 13. Kindly see the uploaded docs 12 &13 and give your kind decision. 
Rejected,Five years will exceed 14-Mar-2023. Kindly hire a local employee. Hence the application has been rejeted
Rejected,"5 years exceed on 03-Mar-2024 as well as per the BIDA registration, The Company is not eligible to hire the expatriate.Please hire a local employee"
Rejected,1.This is the second application for the same person ;please submit the required documents in the first application
Rejected,Firm applying for visa and the account of the firm from which the application has been made are not the same. Please re-apply from the account of the applying firm.
Rejected,Firm applying for visa and the account of the firm from which the application has been made are not the same. Please re-apply from the account of the applying firm.
Rejected,Firm applying for visa and the account of the firm from which the application has been made are not the same. Please re-apply from the account of the applying firm.
Rejected,Firm applying for visa and the account of the firm from which the application has been made are not the same. Please re-apply from the account of the applying firm.
Rejected,Firm applying for visa and the account of the firm from which the application has been made are not the same. Please re-apply from the account of the applying firm.
Rejected,please submit the Applicant's Income tax clearance certificate/ Tax return acknowledgment certificate of the assessment year 2019-20
Rejected,"The expatriate is not receiving his full salary through his bank account in Bangladesh violating the FE circular no. 33  issued on 27 December 2021 by Bangladesh Bank. Hence, the IMC rejected the application."
Rejected,The proposal for the new work permit has been rejected with the advice for applying with the industrial wing.
Rejected,The applicant is already in Bangladesh with A3 visa
Rejected,Please upload the clear copy of the passport.
Rejected,Last time the application has been approved on the condition that further extension of the work permit will not be allowed. Please replace the expatriate with the local HR 
Rejected,"5 years exceed on 20-Jul-2022, Uploaded a request letter for the extension of the work permit. Maybe approved for 1 year"
Rejected,Last time the application has been approved on the condition that further extension of the work permit will not be allowed. Please replace the expatriate with the local HR 
Rejected,"5 years exceed on 20-Jul-2022, Uploaded a request letter for the extension of the work permit. Maybe approved for 1 year"
Rejected,6 years will exceed 20 Jul 2023. Uplaoded a request letter for the extension of the work permit. Maybe approved for 1 year for the last time.
Rejected, 6 years will exceed 20 Jul 2023. Uplaoded a request letter for the extension. Maybe approved for 1 year for the last time
Rejected,Form XII and Schedule 10?
Rejected,"The host country has sufficient accountant with exposure with IFRS and it application. One of the very purpose of FDI is to develop local skill. Accounting is a general skill which could be sourced locally. \
Please hire from local talent pool."
Rejected,"1. The opinion of the concerned ministry/division will be taken on waiving the ratio of local workers to foreign workers (5:1). The ministry/division will be notified that:\
   -  the waiver will only be applicable to:\
     (a)  the highly experienced and highly skilled technological posts\
     (b)  the highly and especially experienced managerial posts\
   - the waiver will not be applicable to:\
     (a)  non-skilled, semi-skilled and non-technological posts\
     (b)  non-managerial and general posts\
2. The company shall submit job descriptions of all positions of the company.\
"
